round,train_mse,heldout_nrmse,family_accuracy,assignment_change,restart_agreement,fragmentation,sign_split,magnitude_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
10,0.0035593747161328793,0.2671586275100708,0.7150259067357513,0.21367521367521367,0.7330703484549639,0.2898641326998416,0.10020642726122177,0.12758736559139786,-0.514482373474201,-0.54851483074784,-1.3025048936056756,0.1341222879684418,0.11308349769888232,0.3504273504273504,0.1952662721893491,0.20710059171597633
11,0.003532643197104335,0.2568279802799225,0.6994818652849741,0.26627218934911245,0.6982248520710059,0.30557639409852466,0.23366353332106757,0.09668114143920596,-0.07484330034849362,-0.8377363149161781,-1.1255451564057086,0.15779092702169625,0.12689020381328073,0.34911242603550297,0.1722550953320184,0.19395134779750164
12,0.00326943420805037,0.25258249044418335,0.7305699481865285,0.28336620644312954,0.6936226166995397,0.274256064016004,0.14773417855609636,0.10148883374689827,-0.7395797757126521,-0.5609017974363306,-0.8911516207128001,0.15121630506245892,0.1663379355687048,0.34911242603550297,0.17817225509533202,0.15516107823800132
13,0.0032062267418950796,0.24286752939224243,0.6865284974093264,0.29322813938198555,0.7067718606180144,0.318913061598733,0.024591466372288293,0.05020678246484699,-0.8472895150998494,-0.6807798913333525,-0.8551480408533645,0.17094017094017094,0.18211702827087442,0.34845496383957925,0.15910585141354372,0.1393819855358317
14,0.0031557681504637003,0.24719858169555664,0.7435233160621761,0.32084155161078237,0.6883629191321499,0.2612319746603317,0.06400917702287566,0.050062034739454093,-0.41721579148824395,-0.8762839945777441,-0.9512123730603805,0.1854043392504931,0.19066403681788296,0.34845496383957925,0.1452991452991453,0.1301775147928994
15,0.002938871970400214,0.24888792634010315,0.6994818652849741,0.30834976988823143,0.7113740959894806,0.3057847795282154,0.04726919452946848,0.07467948717948718,-0.254237546422748,-0.6349976366746208,-1.312465465444438,0.1873767258382643,0.1985535831689678,0.34845496383957925,0.14266929651545035,0.12294543063773833
16,0.002949920715764165,0.23924197256565094,0.7538860103626943,0.28994082840236685,0.6995397764628534,0.2505834792031341,0.05937606280072034,0.024206472291149705,-0.7607934289681533,-0.6143884726916595,-0.872570577455088,0.18408941485864563,0.20512820512820512,0.34845496383957925,0.14595660749506903,0.11637080867850098
17,0.002875556703656912,0.2505337595939636,0.7150259067357513,0.28007889546351084,0.7067718606180144,0.2904892889889139,0.034030530605873084,0.05493434656741109,-0.6354042756885985,-0.8577411039981988,-0.7957413338415906,0.19395134779750164,0.23076923076923078,0.34845496383957925,0.13609467455621302,0.09072978303747535
18,0.002852274803444743,0.23304612934589386,0.7305699481865285,0.29914529914529914,0.6896778435239974,0.27404767858631324,0.15802418028445422,0.012668010752688169,-1.0954465742111084,-0.5351636031377549,-0.7445925262931996,0.1794871794871795,0.20512820512820512,0.34845496383957925,0.15055884286653518,0.11637080867850098
19,0.0027542789466679096,0.23060597479343414,0.7176165803108808,0.3149243918474688,0.6923076923076923,0.28738434608652164,0.07214848824437865,0.045807485525227475,-0.43721212219002115,-0.8860355564166147,-1.0249997672368067,0.1755424063116371,0.20315581854043394,0.34845496383957925,0.15450361604207757,0.11834319526627218
